I'm in good health.	Olen terve.
I did not watch TV but studied English last night.	En katsonut TV:tä vaan opiskelin englantia eilisiltana.
I have more to say.	Minulla on lisää sanottavaa.
I don't usually snore.	En yleensä kuorsaa.
What a heavy bag!	Mikä painava laukku!
I was asleep from one to four this afternoon.	Nukuin tänään iltapäivällä kello yhdestä kello neljään.
Where are the plates?	Missä lautaset ovat?
Playing baseball is fun.	On hauskaa pelata baseballia.
You must be joking!	Lasket varmaan leikkiä!
That's him at the window.	Hän siinä on ikkunassa.
Be watchful.	Ole valpas.
Do you hate it?	Vihaatko sitä?
If you can see your breath when you exhale, you know it's cold.	Jos pystyt näkemään hengityksesi, kun hengität ulos, tiedät että on kylmä.
I'm from America.	Olen kotoisin Yhdysvalloista.
Tom never drinks beer when Mary is around.	Tom ei koskaan juo olutta, kun Mary on läsnä.
Tell Tom I love Mary, too.	Kerro Tomille, että minäkin rakastan Maria.
There's an even easier way to do it.	On vielä helpompi tapa tehdä se.
His hat looked very funny.	Hänen hattunsa näytti todella hassulta.
Fetch me my hat.	Hae hattuni.
Are you doing all right?	Onko sinulla kaikki hyvin?
Is it worth it?	Onko se sen arvoista?
It didn't look that easy.	Se ei näyttänyt kovin helpolta.
Everyone is free to contribute.	Kuka tahansa voi antaa työpanoksensa.
Tom was a comedian.	Tomi on koomikko.
You are my friends.	Te olette minun ystäviäni.
Tom is a truck driver.	Tom on rekkakuski.
People are apt to take it for granted that professors can speak English.	Ihmisillä on tapana pitää itsestään selvänä sitä, että professorit osaavat puhua englantia.
Such behavior shouldn't be permitted.	Sellaisen käytöksen ei pitäisi olla sallittua.
He is a man of vision.	Hän on näkemysten mies.
I think Mary will be offended by what Tom is going to say.	Luulen, että Mari loukkaantuu siitä mitä Tom aikoo sanoa.
You make it look easy.	Saat sen näyttämään helpolta.
A child can play in various ways of his own choosing.	Lapsi voi leikkiä useilla itse valitsemillaan tavoilla.
I've got a good reason to be worried.	Minulla on hyvä syy olla huolestunut.
I want a blanket.	Haluan huovan.
Smoking in the office is against our rules.	Polttaminen toimistossa on vastoin sääntöjämme.
This is my plan.	Tämä on minun suunnitelmani.
You desperately need a vacation.	Olet ehdottomasti loman tarpeessa.
Are you sure you don't want to consider another option?	Oletko varma ettet halua pohtia toista vaihtoehtoa?
Stay thin.	Älä liho.
Can I see you inside, please?	Voisinko saattaa sinunt sisään?
The police searched the house and seized 2 kilograms of heroin.	Poliisi etsi hänen talostaan ja takavarikoi kaksi kiloa heroiinia.
Five colonists were killed.	Viisi kolonistia sai surmansa.
Tell her that I am peeling the potatoes.	Kerro hänelle, että minä kuorin perunat.
It's a stupid law.	Se on typerä laki.
She has no shame.	Hän on häpeämätön.
Lake Baikal in Russia is the deepest lake in the world.	Baikaljärvi Venäjällä on maailman syvin järvi.
I need to learn French.	Minun täytyy oppia ranskaa.
I'm sure Tom was involved.	Olen varma, että Tomi oli osallinen.
He knows how to whistle.	Hän tietää miten viheltää.
I'll do it now.	Teen sen nyt.
I don't take needless risks.	En ota tarpeettomia riskejä.
When should I pick you up tomorrow?	Monelta tulisin hakemaan sinua huomenna?
I had some calls to make, too.	Minulla oli myös muutamia puheluja soitettavana.
I'm not sure I want to touch that.	En ole varma haluanko koskea tuota.
Don't start panicking.	Älä ala panikoida!
Don't forget that good jobs are very hard to come by these days.	Älä unohda, että hyvien töiden löytäminen on nykyään todella vaikeaa.
Why don't you give me a break?	Voisitko jo lopettaa?
Why didn't I die?	Miksen kuollut?
It looks like it'll rain.	Näyttää tulevan sade.
I love these guys.	Mä rakastan näitä tyyppejä.
I'm eating.	Minulla on ruokailu kesken.
I bought a new dress.	Ostin uuden mekon.
My father likes traveling by air.	Isäni tykkää matkustaa lentokoneella.
New York is one of the largest cities in the world.	New York on yksi maailman suurimpia kaupunkeja.
Tom is back there.	Tom on takaisin siellä.
Is there space for one more person?	Onko tilaa vielä yhdelle?
Several dozen young people participated in the demonstration.	Monet kymmenet nuoret ihmiset osallistuivat mielenosoitukseen.
It helps.	Se auttaa.
Tom has a swimming pool.	Tomilla on uima-allas.
He went shopping.	Hän meni ostoksille.
I'm going to go on the blind date Friday evening.	Menen sokkotreffeille perjantai-iltana.
Tom ought to have his head examined.	Tom pitäisi tutkituttaa päänsä.
It's hard for me to express ideas through words.	Minun on vaikea ilmaista ajatuksia sanoin.
Tom is going to regret this.	Tomi tulee katumaan tätä.
They're really ugly.	He ovat tosi rumia.
Is this your tape recorder?	Onko tämä kasettinauhurisi?
May I hold your hand?	Voinko ottaa sinua kädestä kiinni?
Tom and Mary are both present.	Tom ja Mari ovat molemmat läsnä.
May I take a photo?	Voinko ottaa kuvan?
I met him on my way home from school.	Tapasin hänet matkallani koulusta kotiin.
Do you believe in guardian angels?	Uskotko sinä suojelusenkeleihin?
Tom certainly isn't as bad as Mary claims he is.	Tom ei varmastikaan ole niin huono kuin Mary väittää.
I've dreamed of this.	Olen unelmoinut tästä.
He bought a new pair of gloves.	Hän osti uudet käsineet.
I don't need a wheelchair.	Minä en mitään pyörätuolia tarvitse.
She's in a bad mood.	Hän on huonolla tuulella.
Remember what I told you yesterday.	Muista mitä kerroin sinulle eilen.
Mary has very long hair.	Marilla on todella pitkät hiukset.
We'll see you at 2:30.	Tapaamme puoli kolmelta.
Do you know Latin?	Osaatko latinaa?
It matters.	Sillä on väliä.
What is the price of this radio?	Kuinka paljon tämä radio maksaa?
Tom couldn't see anything.	Tom ei nähnyt mitään.
I have no objection to against your plan.	Minulla ei ole mitään suunnitelmaanne vastaan.
You look as healthy as ever.	Näytät yhtä terveeltä kuin aina.
We should give Tom a chance to tell us what really happened.	Meidän pitäisi antaa Tomille mahdollisuus kertoa meille mitä oikeasti tapahtui.
What time does the ship leave?	Mihin aikaan laiva lähtee?
I'm sorry, but that brand of cigarettes is out of stock.	Valitan mutta tuota savukemerkkiä ei ole varastossa.
If your answer is correct, it follows that mine is wrong.	Jos sinun vastauksesi on oikea, siitä seuraa, että minun vastaukseni on väärä.
Good job!	Hienosti tehty!
Are you okay?	Onko kaikki okei?
Tom was watching Mary and John.	Tom katseli Maria ja Jonia.
Be respectful.	Olkaa kunnioittavia.
Tom can't be so easily fooled.	Tomia ei voida huijata niin helposti.
That's really interesting.	Se on todella mielenkiintoista.
Tom is a good neighbor.	Tom on hyvä naapuri.
How did it end?	Miten se loppui?
It's laundry day.	On pyykkipäivä.
I was tired.	Olin väsynyt.
Let's begin.	Aloitetaan.
Tom slammed on the brakes.	Tom löi jarrut pohjaan.
Do you come to this restaurant often?	Käytkö usein tässä ravintolassa?
The idea was so advanced that I couldn't understand it.	Ajatus oli niin edistyksellinen, etten voinut ymmärtää sitä.
I might be gone for a while.	Saatan olla poissa hetken aikaa.
She stayed here by herself.	Hän jäi tänne yksikseen.
He made up his mind to become a pilot.	Hän päätti tulla lentäjäksi.
Tom has lost weight.	Tomi on laihtunut.
Tom lowered his voice.	Tom alensi ääntään.
Tom is quite optimistic.	Tom on melko optimistinen.
That made me change my mind.	Se sai minut muuttamaan mieltäni.
Never trust a politician.	Älä koskaan luota poliitikkoon.
The baby was quiet all night.	Vauva oli hiljaa koko yön.
Will you swim with Tom?	Uitko Tomin kanssa?
The jar is empty.	Purkki on tyhjä.
We're leaving early tomorrow morning.	Lähdemme aikaisin huomenna aamulla.
Has Tom told Mary that he doesn't really know how to speak French?	Onko Tom kertonut Marille, ettei hän oikeasti osaa puhua ranskaa?
Have you finished reading that book?	Oletko lopettanut sen kirjan lukemisen?
Tom put all his eggs in one basket.	Tom laittoi kaikki munansa yhteen koriin.
It was not until yesterday that I noticed it.	Huomasin sen vasta eilen.
Your dad wants you to play soccer.	Isäsi haluaa sinun pelaavan jalkapalloa.
What's on the agenda today?	Mitä tehtävälistassa on tänään?
This paper has a large circulation.	Tällä lehdellä on laaja levikki.
Get out of the car.	Nouse autosta.
I've been told not to call you stupid.	Minua on käsketty olemaan kutsumatta sinua tyhmäksi.
Tom warned Mary not to go out by herself after dark.	Tom varoitti Maria menemästä ulos yksinään pimeän jälkeen.
An idea came to me.	Sain ajatuksen.
I don't have a curfew.	Minulla ei ole kotiintuloaikaa.
You wished to speak with me?	Tahdoitte puhua kanssani?
Do you read French every day?	Luetko ranskaa joka päivä?
A fire broke out in a neighborhood hotel.	Tulipalo syttyi eräässä lähiseudun hotellissa.
I could tell at a glance that something was wrong.	Näin heti ensi silmäyksellä, että jokin oli vialla.
Do you know anything about it?	Tiedätkö sinä siitä mitään?
Tom is also studying French.	Tom opiskelee myös ranskaa.
I thought Tom would be excited.	Luulin, että Tom olisi innoissaan.
Tom tried to control his fear.	Tom yritti kontrolloida pelkoaan.
Tom walked down the stairs.	Tom käveli alakertaan.
I think you've done a wonderful job.	Minusta sinä olet tehnyt mahtavaa työtä.
So, where's the problem?	Joten missä tässä on ongelma?
Is the exam today?	Onko koe tänään?
It is pretty warm today.	Tänään on melko lämmintä.
I can stay.	Voin jäädä.
The secretary noted down what her boss had said.	Sihteeri kirjasi ylös mitä hänen pomonsa oli sanonut.
You can use a tongue scraper to clean your tongue.	Voit käyttää kielikaavinta kielesi puhdistamiseen.
Tom and Mary ran off to Boston and got married after knowing each other only a few weeks.	Tom ja Mari karkasivat Bostoniin ja menivät naimisiin tunnettuaan toisensa vain pari viikkoa.
They were freed to work for themselves.	Heidät vapautettiin työskentelemään omaksi hyödykseen.
Is the phone ringing?	Soiko puhelin?
Tom and Mary work in the same office.	Tom ja Mary työskentelevät samassa toimistossa.
Terrorists attacked the World Trade Center in New York City in 2001.	Terroristit iskivät New Yorkin World Trade Centeriin vuonna 2001.
Tom was in the bar drinking by himself.	Tom istui baarissa juopotellen yksinään.
It's dangerous to jump off a moving train.	On vaarallista hypätä pois liikkuvan junan kyydistä.
I won't be ready to do that until Monday.	En mielelläni tekisi sitä ennen maanantaita.
A good appetite is a good sauce.	Nälkä on paras kastike.
I'm not lying.	En valehtele.
It's OK, but I think you can do it better.	Se on OK, mutta ajattelen että voit tehdä sen paremmin.
Jesus was a carpenter.	Jeesus oli puuseppä.
I've got get back to work.	Minun täytyy palata takaisin töihin.
I will come, weather permitting.	Tulen jos sää sallii.
Germany was allied with Italy in World War II.	Saksa oli liitossa Italian kanssa Toisessa maailmansodassa.
The teacher told us a funny story.	Opettaja kertoi meille hauskan tarinan.
What do you think we must do in order to maintain the peace of the world?	Mitä luulet että meidän täytyy tehdä pitääksemme yllä maailmanrauhaa?
Tom is one of my closest friends.	Tom on yksi läheisimmistä ystävistäni.
Are you going to ask Tom?	Aiotko sinä pyytää Tomia?
I'll pay the bill.	Minä maksan laskun.
The inflation issue split the party.	Inflaatiokysymys jakoi puolueen.
It is hot today.	Tänään on kuuma.
Tom got jealous when he saw Mary talking to a handsome guy.	Tom tuli mustasukkaiseksi kun hän näki Marin puhuvan komealle miehelle.
He spoke for ten minutes without a pause.	Hän puhui kymmenen minuuttia tauotta.
Tom took the job.	Tom otti vastaan työn.
He has broken the record.	Hän on rikkonut ennätyksen.
The cherry blossoms are at their best in April.	Kirsikankukat ovat parhaimmillaan huhtikuussa.
Tom is going out with a Chinese exchange student.	Tom on menossa ulos erään kiinalaisen vaihto-oppilaan kanssa.
Tom never got caught.	Tomia ei saatu koskaan kiinni.
Carrying out the plan was easy.	Suunnitelman toteuttaminen oli helppoa.
We'll be needing your help.	Me tarvitsemme apuasi.
My new course starts today.	Minun uusi kurssini alkaa tänään.
He did well for a beginner.	Hän pärjäsi hyvin aloittelijaksi.
He is intelligent.	Hän on nokkela.
Mary is a widow.	Mari on leski.
The coach made the players run five miles a day.	Valmentaja sai pelaajat juoksemaan viisi mailia päivässä.
There are no survivors.	Henkiinjääneitä ei ole.
I want you to sing the song.	Haluan sinun laulavan laulun.
Tom got up at 7:00.	Tom nousi ylös 7:00.
I'm glad Tom's OK.	Olen iloinen, että Tom on kunnossa.
I was just mugged.	Minut on juuri ryöstetty.
You shouldn't be nervous.	Sinun ei pitäisi olla hermostunut.
How's everything else?	Mites kaikki muu?
Tom went to the hospital.	Tom meni sairaalaan.
Can we rest a while?	Voimmeko levätä hetken?
Tom pretended that he didn't know about what had happened.	Tom teeskenteli, että hän ei tiennyt siitä mitä oli tapahtunut.
Tom appears to be wise.	Tom vaikuttaa olevan viisas.
They go to church on Sunday morning.	He käyvät kirkossa sunnuntaina aamulla.
I wonder how long it's going to take.	Kuinkahan kauan se kestää.
Tom hates spiders.	Tom vihaa hämähäkkejä.
I'm now learning French.	Opettelen nyt ranskaa.
Sumatra is an island.	Sumatra on saari.
Do I need to add salt?	Pitääkö minun lisätä suolaa?
We learned Russian instead of French.	Me opimme venäjää ranskan sijasta.
I will do what you say.	Teen mitä sanot.
The student majors in philosophy.	Opiskelijan pääaine on filosofia.
Tom walked into Mary's office.	Tom käveli sisään Marin toimistoon.
Some of them are teachers, and some are engineers.	Jotkut heistä ovat opettajia, jotkut insinöörejä.
Where did I put the keys?	Mihin minä laitoin avaimet?
He didn't learn anything in school.	Hän ei oppinut mitään koulussa.
I won't be here next month.	En ole paikalla ensi kuussa.
We'll be in touch.	Ollaan yhteyksissä.
Who took care of the dog while you were away?	Kuka hoiti koiraa kun olit poissa?
Can you ride a horse?	Osaatko ratsastaa?
Our company's headquarters are in Tokyo.	Meidän yrityksemme pääkonttori on Tokiossa.
Go to bed.	Mene sänkyyn!
It looks good.	Se näyttää hyvältä.
You're still wrong.	Olet edelleen väärässä.
Don't try anything funny.	Älä yritä mitään outoa.
Tom was madly in love with Mary.	Tom oli hulluna rakastunut Maryyn.
Would you ever consider dating someone like me?	Voisitko ikinä harkita seurustelevasi jonkun minunlaiseni kanssa?
Be careful not to slip.	Varo, ettet liukastu.
